 Taxa de analfabetismo - Brasil
Taxa de analfabetismo por Unidade da Federação e Ano
Período:1991, 2000, 2010
"Unidade da Federação";"1991";"2000";"2010";"Total"
"11 Rondônia";19,6;12,3;8,8;12,7
"12 Acre";34,3;23,6;16,6;22,7
"13 Amazonas";23,9;15,0;9,9;14,7
"14 Roraima";20,0;12,2;10,3;12,7
"15 Pará";23,4;15,9;11,6;15,8
"16 Amapá";19,1;11,6;8,1;11,2
"17 Tocantins";30,2;17,8;12,9;18,6
"21 Maranhão";40,7;27,1;20,4;27,8
"22 Piauí";40,5;29,2;22,2;29,4
"23 Ceará";36,1;24,9;18,2;25,0
"24 Rio Grande do Norte";34,9;23,8;17,8;24,3
"25 Paraíba";40,6;28,2;21,4;29,0
"26 Pernambuco";32,9;23,0;17,4;23,5
"27 Alagoas";44,0;31,7;23,6;31,8
"28 Sergipe";35,0;23,7;18,0;24,2
"29 Bahia";34,5;22,0;16,2;23,1
"31 Minas Gerais";17,4;11,3;8,1;11,7
"32 Espírito Santo";16,9;10,8;8,0;11,2
"33 Rio de Janeiro";9,2;6,1;4,2;6,2
"35 São Paulo";9,7;6,1;4,2;6,3
"41 Paraná";14,2;8,9;6,1;9,3
"42 Santa Catarina";9,2;5,8;4,0;5,9
"43 Rio Grande do Sul";9,5;6,2;4,4;6,5
"50 Mato Grosso do Sul";16,1;10,6;7,4;10,7
"51 Mato Grosso";18,7;11,3;8,4;11,8
"52 Goiás";17,5;11,2;7,6;11,2
"53 Distrito Federal";8,7;5,4;3,6;5,4
"Total";19,3;12,8;9,4;13,2
 Fonte: IBGE - Censos Demográficos
 Consulte o sítio do IBGE para mais informações.
