 Acompanhamento dos dados de Hanseníase - BRASIL
Frequência por Ano Notificação e Mes Notificação
Período:2001-2020
"Ano Notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"2001";3703;4002;4727;4191;4703;3918;4151;4852;4148;4727;4220;3330;50672
"2002";3687;3821;4443;5067;4915;4316;5012;5205;4932;5256;4678;3780;55112
"2003";3876;5725;5442;5105;5121;4476;4764;4905;5254;5332;4825;4062;58887
"2004";3941;4215;5484;4630;5540;5159;5018;5723;4875;4231;4614;4110;57540
"2005";3921;4148;4926;4747;4742;4770;4214;5550;5002;5272;4982;4477;56751
"2006";4345;4582;5350;3902;4643;3904;3971;5020;4038;4349;4286;3861;52251
"2007";3476;3571;4565;3716;4254;3644;3868;4499;3830;4459;3876;3337;47095
"2008";3506;3576;3698;4350;3646;3864;4467;4798;4540;4151;3823;3063;47482
"2009";3344;3802;4621;3640;3857;3607;3747;4130;3911;3648;3786;3060;45153
"2010";2991;3269;4286;3598;3983;3393;3450;3909;3581;3502;3677;2997;42636
"2011";2920;3860;3781;3277;3883;3400;3052;3970;3595;3244;3466;3045;41493
"2012";2996;3525;4211;3659;4072;3218;3348;3786;3204;3489;3029;2361;40898
"2013";2738;2703;3005;3549;3305;3093;3270;3565;3591;3445;3236;2762;38262
"2014";3032;3374;2977;3155;3370;2862;3255;3420;3660;3646;3117;2578;38446
"2015";2591;2828;3547;2998;3125;3034;3055;3252;3266;3067;2829;2463;36055
"2016";2300;2525;2972;2690;2728;3008;2567;3159;2934;2677;2534;2236;32330
"2017";2509;2750;3218;2576;3312;2801;2739;3374;2922;3211;3005;2509;34926
"2018";2847;2830;3328;3221;3261;2898;2980;3617;3153;3483;3003;2329;36950
"2019";3038;3464;2863;3193;3217;2677;2966;3166;3251;3387;3129;2513;36864
"2020";2841;2814;2642;1347;1274;1442;1729;1690;1935;1832;1418;390;21354
"Total";64602;71384;80086;72611;76951;69484;71623;81590;75622;76408;71533;59263;871157
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular os dados de hanseníase pode ser acessado o Caderno de Análise, pelo link:http://portalsinan.saude.gov.br/hanseniase.
 Os bancos de dados de 2001 a 2020 são bancos brutos, não receberam nenhum tratamento, nem foram consolidados, por tanto os dados aqui disponíveis podem apresentar diferenças em relação aos boletins epidemiológicos e outras publicações de hanseníase.
 Dados do ano de 2020, do estado do Espírito Santo, não disponíveis.
 As bases de dados de 2018 a 2020 ainda podem receber atualizações na notificação de casos.
 *Dados disponibilizados no TABNET em 01/2021
 
